name,longitude,latitude,provider,date,key,dtime,month
Ephemeroptera,174.9392,-41.173606,gbif,1/16/19,1990511528,1/16/19,Jan
Ephemeroptera,-17.776276,28.657183,gbif,1/14/19,1990677237,1/14/19,Jan
Ephemeroptera,12.926263,56.371952,gbif,1/26/19,2247360218,1/26/19,Jan
Ephemeroptera,175.491485,-38.63448,gbif,1/8/19,1986609412,1/8/19,Jan
Ephemeroptera,10.742054,53.897663,gbif,1/17/19,1990657949,1/17/19,Jan
Ephemeroptera,174.796112,-36.297222,gbif,1/23/19,1990564758,1/23/19,Jan
Ephemeroptera,13.062474,56.395158,gbif,1/26/19,2247359715,1/26/19,Jan
Ephemeroptera,-17.776276,28.657183,gbif,1/3/19,1986459377,1/3/19,Jan
Ephemeroptera,-17.776276,28.657183,gbif,1/6/19,1986459475,1/6/19,Jan
Ephemeroptera,12.734302,56.657192,gbif,2/15/19,2247525744,2/15/19,Feb
Ephemeroptera,13.450349,42.340541,gbif,2/6/19,2269206972,2/6/19,Feb
Ephemeroptera,-97.960648,30.382553,gbif,2/13/19,2005338451,2/13/19,Feb
Ephemeroptera,6.52563,53.230766,gbif,2/3/19,1990677218,2/3/19,Feb
Ephemeroptera,12.734302,56.657192,gbif,2/15/19,2247525798,2/15/19,Feb
Ephemeroptera,8.903561,50.824615,gbif,3/2/19,2028072435,3/2/19,March
Ephemeroptera,13.450328,42.340509,gbif,3/28/19,2269208372,3/28/19,March
Ephemeroptera,9.293575,48.897564,gbif,3/6/19,2013257151,3/6/19,March
Ephemeroptera,-99.134468,19.427919,gbif,3/8/19,2244207726,3/8/19,March
Ephemeroptera,-84.104208,38.97863,gbif,4/10/19,2237427226,4/10/19,April
Ephemeroptera,-76.443725,39.426742,gbif,4/29/19,2238998768,4/29/19,April
Ephemeroptera,-84.483407,30.455374,gbif,4/29/19,2238987060,4/29/19,April
Ephemeroptera,-94.811562,38.984225,gbif,4/24/19,2238793226,4/24/19,April
Ephemeroptera,-76.070245,42.995789,gbif,4/28/19,2238953794,4/28/19,April
Ephemeroptera,-93.138313,36.061138,gbif,4/16/19,2237458651,4/16/19,April
Ephemeroptera,-96.002845,32.295726,gbif,4/14/19,2237431145,4/14/19,April
Ephemeroptera,173.291047,-41.316394,gbif,4/26/19,2242934249,4/26/19,April
Ephemeroptera,173.291047,-41.316606,gbif,4/26/19,2242933907,4/26/19,April
Ephemeroptera,-82.881897,39.627433,gbif,4/22/19,2238792126,4/22/19,April
Ephemeroptera,-96.97958,33.06209,gbif,4/27/19,2239040595,4/27/19,April
Ephemeroptera,-97.793451,30.405925,gbif,4/25/19,2238794295,4/25/19,April
Ephemeroptera,-96.988797,33.062069,gbif,4/27/19,2239053186,4/27/19,April
Ephemeroptera,7.197912,51.262947,gbif,4/19/19,2237179137,4/19/19,April
Ephemeroptera,-84.504242,36.124928,gbif,4/14/19,2236884246,4/14/19,April
Ephemeroptera,10.533485,51.952095,gbif,4/22/19,2237179147,4/22/19,April
Ephemeroptera,15.564019,45.489956,gbif,4/29/19,2242782288,4/29/19,April
Ephemeroptera,4.880556,60.792667,gbif,4/2/19,2236732089,4/2/19,April
Ephemeroptera,6.782169,51.481491,gbif,4/22/19,2237179143,4/22/19,April
Ephemeroptera,4.880556,60.792667,gbif,4/24/19,2237246085,4/24/19,April
Ephemeroptera,7.197912,51.262947,gbif,4/28/19,2237179115,4/28/19,April
Ephemeroptera,-77.831908,38.112603,gbif,4/4/19,2235557964,4/4/19,April
Ephemeroptera,-116.62667,31.882544,gbif,4/29/19,2244213782,4/29/19,April
Ephemeroptera,7.575348,48.026672,gbif,4/25/19,2242351033,4/25/19,April
Ephemeroptera,-98.080122,30.203996,gbif,4/22/19,2237499844,4/22/19,April
Ephemeroptera,10.483189,51.898262,gbif,4/17/19,2237179075,4/17/19,April
Ephemeroptera,-96.988982,33.061923,gbif,4/27/19,2242791838,4/27/19,April
Ephemeroptera,12.932153,48.844639,gbif,4/2/19,2235649679,4/2/19,April
Ephemeroptera,127.053642,37.739605,gbif,5/13/19,2243001875,5/13/19,May
Ephemeroptera,-87.978639,41.514042,gbif,5/28/19,2251961908,5/28/19,May
Ephemeroptera,11.695724,60.854135,gbif,5/28/19,2252274542,5/28/19,May
Ephemeroptera,11.12477,53.05373,gbif,5/2/19,2243548110,5/2/19,May
Ephemeroptera,10.677906,59.460667,gbif,5/22/19,2247846251,5/22/19,May
Ephemeroptera,-77.199501,38.971283,gbif,5/21/19,2251939589,5/21/19,May
Ephemeroptera,11.936551,51.965038,gbif,5/25/19,2251789976,5/25/19,May
Ephemeroptera,-117.866052,45.213827,gbif,5/14/19,2242996422,5/14/19,May
Ephemeroptera,12.183366,53.792995,gbif,5/18/19,2243548121,5/18/19,May
Ephemeroptera,11.367202,48.73785,gbif,5/20/19,2247788709,5/20/19,May
Ephemeroptera,-0.017609,51.694638,gbif,5/18/19,2265796520,5/18/19,May
Ephemeroptera,6.252396,51.633518,gbif,5/18/19,2243548143,5/18/19,May
Ephemeroptera,-98.608,31.265133,gbif,5/18/19,2251977440,5/18/19,May
Ephemeroptera,-99.752992,30.492128,gbif,5/27/19,2265880414,5/27/19,May
Ephemeroptera,9.103443,48.462334,gbif,5/31/19,2251790639,5/31/19,May
Ephemeroptera,13.352186,52.429455,gbif,5/31/19,2251789754,5/31/19,May
Ephemeroptera,12.763866,55.999296,gbif,5/25/19,2269217393,5/25/19,May
Ephemeroptera,-123.479711,48.939955,gbif,5/12/19,2244307648,5/12/19,May
Ephemeroptera,10.525074,51.939293,gbif,5/21/19,2247788722,5/21/19,May
Ephemeroptera,-79.716212,38.575387,gbif,5/29/19,2251962014,5/29/19,May
Ephemeroptera,7.080328,52.432087,gbif,5/26/19,2251790376,5/26/19,May
Ephemeroptera,11.279612,47.383705,gbif,5/27/19,2251789665,5/27/19,May
Ephemeroptera,12.763142,52.536194,gbif,5/31/19,2251789380,5/31/19,May
Ephemeroptera,10.091333,63.537966,gbif,5/17/19,2247885666,5/17/19,May
Ephemeroptera,11.936551,51.965038,gbif,5/25/19,2251770707,5/25/19,May
Ephemeroptera,-110.733393,29.488655,gbif,5/29/19,2251965421,5/29/19,May
Ephemeroptera,11.493534,48.156338,gbif,5/26/19,2251910269,5/26/19,May
Ephemeroptera,-58.445602,-34.593861,gbif,5/12/19,2251846385,5/12/19,May
Ephemeroptera,7.197912,51.262947,gbif,5/26/19,2247788678,5/26/19,May
Ephemeroptera,10.167023,52.506912,gbif,5/19/19,2243548108,5/19/19,May
Ephemeroptera,11.367202,48.73785,gbif,5/22/19,2247788708,5/22/19,May
Ephemeroptera,6.440675,50.791908,gbif,5/31/19,2251770715,5/31/19,May
Ephemeroptera,10.525074,51.939293,gbif,5/27/19,2251789882,5/27/19,May
Ephemeroptera,7.178192,51.818378,gbif,5/18/19,2243548132,5/18/19,May
Ephemeroptera,10.677906,59.460667,gbif,5/18/19,2247967465,5/18/19,May
Ephemeroptera,11.408958,48.747135,gbif,5/20/19,2247788746,5/20/19,May
Ephemeroptera,9.962368,54.332741,gbif,5/19/19,2247788724,5/19/19,May
Ephemeroptera,7.74823,58.178549,gbif,5/21/19,2252370158,5/21/19,May
Ephemeroptera,10.136917,53.614326,gbif,5/10/19,2243548127,5/10/19,May
Ephemeroptera,8.660488,55.292975,gbif,5/20/19,2269216102,5/20/19,May
Ephemeroptera,8.772411,50.151196,gbif,5/26/19,2251789454,5/26/19,May
Ephemeroptera,7.197912,51.262947,gbif,5/30/19,2251790289,5/30/19,May
Ephemeroptera,6.32113,50.947044,gbif,5/1/19,2242351014,5/1/19,May
Ephemeroptera,6.621415,52.21394,gbif,5/2/19,2242350986,5/2/19,May
Ephemeroptera,4.132414,51.142554,gbif,5/18/19,2265810252,5/18/19,May
Ephemeroptera,-75.961802,42.99257,gbif,5/30/19,2251977671,5/30/19,May
Ephemeroptera,7.560864,51.442513,gbif,5/22/19,2251790481,5/22/19,May
Ephemeroptera,-98.623169,31.269797,gbif,5/18/19,2251963423,5/18/19,May
Ephemeroptera,9.578615,48.910156,gbif,5/31/19,2251790323,5/31/19,May
Ephemeroptera,-0.07505,51.797,gbif,5/25/19,2269217248,5/25/19,May
Ephemeroptera,12.266922,51.852322,gbif,5/15/19,2243548135,5/15/19,May
Ephemeroptera,-2.054777,53.336082,gbif,5/26/19,2269217823,5/26/19,May
Ephemeroptera,7.634039,52.352642,gbif,5/18/19,2247788696,5/18/19,May
Ephemeroptera,3.103201,45.799356,gbif,5/21/19,2244297759,5/21/19,May
Ephemeroptera,10.676729,59.458882,gbif,5/8/19,2247861019,5/8/19,May
Ephemeroptera,7.428184,48.45927,gbif,5/3/19,2242351041,5/3/19,May
Ephemeroptera,8.182111,51.477722,gbif,5/20/19,2247788683,5/20/19,May
Ephemeroptera,8.831997,52.29113,gbif,5/22/19,2247788692,5/22/19,May
Ephemeroptera,-1.610509,53.166151,gbif,5/30/19,2269222996,5/30/19,May
Ephemeroptera,12.266922,51.852322,gbif,5/23/19,2247788690,5/23/19,May
Ephemeroptera,11.310596,48.735703,gbif,5/20/19,2247788727,5/20/19,May
Ephemeroptera,13.029222,52.398472,gbif,6/5/19,2251789631,6/5/19,June
Ephemeroptera,6.56515,51.074356,gbif,6/2/19,2251790480,6/2/19,June
Ephemeroptera,8.467061,49.782951,gbif,6/12/19,2268196358,6/12/19,June
Ephemeroptera,7.113253,50.707558,gbif,6/7/19,2251789571,6/7/19,June
Ephemeroptera,9.402452,48.848083,gbif,6/7/19,2251777450,6/7/19,June
Ephemeroptera,8.758018,49.176544,gbif,6/12/19,2268232672,6/12/19,June
